brightness,contrast,hue,saturation,warmth,colourfulness,file,group
0.4342965494173695,0.1948205464363255,0.062115564402522215,0.32366053971022074,0.15497534781547473,0.1829305280438478,IMG_20210608_175422.jpg,02_Warm_Earth
0.45374427499394826,0.300305299232666,0.007391344855539842,0.38662716909080924,0.1142553376906318,0.2964412066371334,IMG_20241227_012551.jpg,02_Warm_Earth
0.45988839506172835,0.19544480916280235,0.07171575744643234,0.315749649948908,0.04944819172113289,0.19434484541773164,PXL_20260715_054801736.jpg,02_Warm_Earth
0.475493663761801,0.2399596600540137,0.055676933639014325,0.23290611911831297,0.06551868191721133,0.23811493899611702,drawing.anatomy.and.art_20191129_1.png,02_Warm_Earth
0.48050934710801885,0.21100581886893469,0.07359516718791352,0.2230701836439184,0.06550469112376132,0.2091368954442988,FFu_7c1XwAIkLGN.jpeg,02_Warm_Earth
0.48378763495521665,0.24642515203281856,0.016964151694098664,0.4114077668602005,0.04687227305737109,0.24563720917741683,IMG_20250817_151110.jpg,02_Warm_Earth
0.4883109976016551,0.26790506924732876,0.10697288013334028,0.26541412093235633,0.07937485582468282,0.2658693492680457,FIEifaGXwAIB_jU.jpeg,02_Warm_Earth
0.5059381844589688,0.2065903075011079,0.11664196711574061,0.27739078882177004,0.008396862745098039,0.20539669872974253,IMG_20240318_162027.jpg,02_Warm_Earth
0.5119727299582734,0.3024805560505739,0.04038189496415288,0.3893352855051648,0.013486651157638196,0.30241869441651886,MFP-Ricardo+Nagaoka-2022-7.jpg,02_Warm_Earth
0.5496261771253734,0.17853532652785548,0.09492872447166271,0.31403892116888943,0.18965748776742025,0.16026172307668266,Christian-Rohlfs-Roemische-Bauleute_600.jpg,02_Warm_Earth
0.2624882897603486,0.1782893360590269,0.14121296570754854,0.22887309438601566,0.04823349673202615,0.17577758693479253,265247282_153507697006480_7868117419849147761_n.jpg,03_Golden_Hour
0.3156731219236666,0.19686851508522554,0.15035425962171567,0.40742882068504477,0.14377721294279028,0.18302371254141817,IMG_20210330_180448.jpg,03_Golden_Hour
0.3166475535765435,0.2166488202032459,0.19061335059913095,0.27746296326772785,0.0076372679217769435,0.21661723081716874,IMG_20211007_004116.jpg,03_Golden_Hour
0.31803353225348113,0.18311940152548561,0.15792160674842112,0.3489272023469344,0.0889582784365393,0.17813018793695892,De_bedreigde_zwaan_Rijksmuseum_SK-A-4.jpeg,03_Golden_Hour
0.34387501815541033,0.1726399841851821,0.15730010824818177,0.21615996079565508,0.004996949891067538,0.17228815003297318,793ec3bd3762f59cca67aea05c8790b5.jpg,03_Golden_Hour
0.3805521971323627,0.2677183842492601,0.17329782764278692,0.37027664814242023,0.05980014629197045,0.26578772943547196,hieronymus_bosch-the_garden_of_earthly_delights_-_closed-1504-trivium-art-history.jpg,03_Golden_Hour
0.39580945790080735,0.3061353137711482,0.13205096586592469,0.6241252700625121,0.18556939638600536,0.29395274121943626,70_50_3_2_cropped.jpeg,03_Golden_Hour
0.5271175532413922,0.14939280746071498,0.12939455915570888,0.3384683098238782,0.10221421646808643,0.13458357707753088,"Henri-Edmond_Cross,_1893,_La_ferme,_soir_(The_farm,_evening)_oil_on_canvas,_65.0_x_92.0_cm,_Private_collection,_Paris.jpeg",03_Golden_Hour
0.5357530996236879,0.30442316043944234,0.16445990048669865,0.29857504392319567,0.01912257872846108,0.3043157470524763,IMG_20191129_080816.jpg,03_Golden_Hour
0.5521794623218772,0.21334716738275392,0.0732794431628289,0.5025910642173212,0.15312343246708573,0.20363685243115595,PXL_20260721_211604309.jpg,03_Golden_Hour
0.5538659888646816,0.16033136098514786,0.011048542740176734,0.1911884302111025,0.015265998547567175,0.16020594324930823,IMG_20240707_194725.jpg,03_Golden_Hour
0.5570277221011861,0.28629998694351355,0.11981616804014555,0.2920856878791639,0.09230634713144516,0.2837252772440382,IMG_20210320_173841.jpg,03_Golden_Hour
0.575571221081025,0.19583115216047436,0.0665175069167585,0.2892437235766791,0.1600518726008922,0.18424494847889306,272328646_475066264137527_4067976837318847095_n.jpg,03_Golden_Hour
0.5764806623093681,0.19003373625772446,0.053395649183949026,0.32825141499701366,0.09934640522875816,0.18507814081181628,IMG_20230828_204104.jpg,03_Golden_Hour
0.5788317893340912,0.1714789920807353,0.10205694438397134,0.33079039885948275,0.04201631145211708,0.17028318166486756,Henri_Edmond_Cross_-_Le_Cap_Layet_1904_-_(MeisterDrucke-743635).jpg,03_Golden_Hour
0.5933312618307798,0.1608728851634856,0.09135719364709384,0.26316357675094754,0.04525570556091289,0.15977890128355227,280962357_1158840424882468_2093167533924611968_n.webp,03_Golden_Hour
0.5943339186420837,0.26777935657390667,0.09656345948900197,0.24171672353912935,0.12103170422397813,0.26297368150322975,kn-81-viii-a.jpg,03_Golden_Hour
0.6163929490988315,0.24899978249867735,0.04127376806108201,0.4050044012326191,0.09288829471182411,0.24597489896226885,PXL_20260711_084932588.jpg,03_Golden_Hour
0.6271406753812636,0.31028059464976643,0.18309599361179835,0.1997661742791809,0.04111875816993464,0.30963785242326125,38ad30ec924c4554bd4c741ea236a9af_301536842_457960676226949_3513484977010121366_n.jpg,03_Golden_Hour
0.6284190713322366,0.2804945168560501,0.10311711639587032,0.2848173806014886,0.011954337290471746,0.280445188352849,IMG_5331.JPG,03_Golden_Hour
0.6368913009648304,0.22898988213267385,0.11021535359193373,0.46660981510742433,0.16303431372549018,0.21100698100225093,IMG_20211009_101622.jpg,03_Golden_Hour
0.6428890236506973,0.19678027266035855,0.09830643539619559,0.34178207763005886,0.22937483997035243,0.17230069087016553,IMG_20190424_182023.jpg,03_Golden_Hour
0.6623879622849601,0.23099764357424338,0.11969900697063092,0.3469910473717273,0.0678952078756814,0.2291976535099691,IMG_20230828_201858.jpg,03_Golden_Hour
0.6680480148909618,0.19708445524270946,0.1601149152887934,0.21598131904257648,0.05823205787169237,0.1952898055073082,landscape-rain-kao-ko-kung-1248-1310-10731011.jpg.webp,03_Golden_Hour
0.7109753913754906,0.16603074419154432,0.09118231979453631,0.1544339083310533,0.10242078265905519,0.16026201407796567,IMG_20210609_090452.jpg,03_Golden_Hour
0.748508585355046,0.18141742229744898,0.07509527616086772,0.28302038392191425,0.13519203500609284,0.17112478470785972,selbstportrait.jpg,03_Golden_Hour
0.2950044620412267,0.2468074763204036,0.21965188556977963,0.6796291220723473,0.13911199095022628,0.23000690761363884,dd5c7-24962.jpg,04_Greens
0.3693117211328976,0.2132067861616252,0.26016683328831836,0.4030534678184925,0.0729673783587509,0.20844864856998388,IMG_20230903_174833.jpg,04_Greens
0.3774347961406785,0.261948403375092,0.43210547741776273,0.422560942382965,-0.04350953714819261,0.2608437244000265,IMG_20191105_223506.jpg,04_Greens
0.3784917550229969,0.20432137947090703,0.41784153704029786,0.26351339928314055,-0.017628293391430648,0.20359362093421973,image.png,04_Greens
0.3800941952115343,0.2301113885506213,0.41378830737431826,0.2946101656605529,-0.0038614105327995072,0.23008969589714434,230063635_120085906920052_7288109951353199303_n.jpg,04_Greens
0.45556213708170384,0.23161904820055634,0.4392992660060334,0.3575014665454518,-0.0027487078513413724,0.2310135773338715,Edward+Hopper+Boy+and+Moon.jpg,04_Greens
0.4921712477989674,0.27216861886983607,0.24459628248612394,0.3688701086613589,0.038805175038051753,0.2713545429621187,IMG-20220123-WA0004.jpg,04_Greens
0.5328926791416719,0.23930066783164128,0.2089063662514802,0.331146388327507,0.033109320440504963,0.23851958692240002,IMG-20220123-WA0006.jpg,04_Greens
0.5716385403050109,0.19285767324637748,0.34267392160591437,0.4308234495502058,-0.01849712418300653,0.18342661521312778,FLlVzjoVIAEiQY5.jpg,04_Greens
